logged_at,game_date,away,home,side,stake,decimal_odds,american_odds,result,notes
2026-08-05T13:48:59.106684+00:00,2026-08-05,LAD,CHC,away,20.00,2.100,,loss,desde foto Hondubet; ticket=5264014555; score=7:6; seleccion=2 LAD; P~57.0%; edge~+9.4%; con; CERRADO
2026-08-06T18:28:46.983431+00:00,2026-08-06,DET,SEA,away,25.00,2.050,,win,desde foto Hondubet; ticket=5267976850; score=0:11; PA early payout; seleccion=2 DET; payout=51.25; P=60.3%; edge=+11.5%; con; CERRADO
2026-08-06T18:31:56.274209+00:00,2026-08-06,MIN,KC,away,25.00,2.050,,win,desde foto Hondubet; ticket=5268045979; score=3:4; seleccion=2 MIN; payout=51.25; P=58.8%; edge=+10.0%; con; CERRADO
2026-08-07T18:57:23.717550+00:00,2026-08-07,ATH,BOS,home,20.00,1.360,,win,desde foto Hondubet; ticket=5271192570; ganador incl extras; seleccion=1 BOS; payout_potencial=27.27; P=82.0%; edge=+8.5%; con; score=13:1; PA early payout; payout=27.27; protocol_ok; CERRADO
2026-08-07T18:59:39.338777+00:00,2026-08-07,CHC,KC,away,20.00,1.580,,win,desde foto Hondubet; ticket=5271202617; ganador incl extras; seleccion=2 CHC; payout_potencial=31.76; P=74.2%; edge=+10.9%; con; score=4:6 CHC gana; payout=31.76; protocol_ok; CERRADO
2026-08-07T19:01:06.316974+00:00,2026-08-07,DET,SF,away,20.00,1.760,,loss,desde foto Hondubet; ticket=5271207680; ganador incl extras; seleccion=2 DET; payout_potencial=35.38; P=68.6%; edge=+11.8%; con; score=5:2 SF gana; protocol_ok; CERRADO
2026-08-07T19:03:08.552757+00:00,2026-08-07,TB,SEA,away,20.00,2.000,,win,desde foto Hondubet; ticket=5271213441; ganador incl extras; seleccion=2 TB; payout_potencial=40.00; P=66.9%; edge=+16.9%; con; score=1:2 TB gana; payout=40.00; protocol_ok; CERRADO
2026-08-07T19:05:21.399858+00:00,2026-08-07,CIN,WSH,away,20.00,2.000,,loss,desde foto Hondubet; ticket=5271222953; ganador incl extras; seleccion=2 CIN; payout_potencial=40.00; P=65.6%; edge=+15.6%; con; score=5:3 WSH gana; protocol_ok; ABIERTO; CERRADO
2026-08-07T19:07:31.838621+00:00,2026-08-07,ATL,NYY,away,20.00,1.740,,loss,desde foto Hondubet; ticket=5271228155; ganador incl extras; seleccion=2 ATL; payout_potencial=34.81; P=63.3%; edge=+5.8%; con; score=2:3 NYY gana; protocol_ok; CERRADO; PA
2026-08-08T23:29:57.254548+00:00,2026-08-08,TB,SEA,away,25.00,2.000,,win,desde foto Hondubet; ticket=5276132784; ganador incl extras; seleccion=2 TB; payout_potencial=50.00; P=68.5%; edge=+18.5%; con; score=3:2 TB gana; payout=50.00; protocol_ok; preferida>=10%; CERRADO
2026-08-09T17:04:46.655036+00:00,2026-08-09,ATH,BOS,home,25.00,1.500,,loss,desde foto Hondubet; ticket=5278496163; ganador incl extras; seleccion=1 BOS; payout_potencial=37.50; P=79.6%; edge=+12.9%; con; score=3:4 ATH gana; protocol_ok; preferida>=10%; bank~1543; CERRADO
2026-08-09T17:07:15.412876+00:00,2026-08-09,CHC,KC,away,25.00,1.600,,win,desde foto Hondubet; ticket=5278507272; ganador incl extras; seleccion=2 CHC; payout_potencial=40.15; P=72.0%; edge=+9.5%; con; score=PA early payout; payout=40.15; protocol_ok_oficial>=3%; edge_real<10%_bajo_preferencia; bank~1543; CERRADO
2026-08-09T17:08:35.634861+00:00,2026-08-09,DET,SF,away,25.00,1.800,,win,desde foto Hondubet; ticket=5278514228; ganador incl extras; seleccion=2 DET; payout_potencial=45.00; P=66.9%; edge=+11.3%; con; score=1:3 DET gana; payout=45.00; protocol_ok; preferida>=10%; bank~1543; CERRADO
2026-08-09T17:11:43.210644+00:00,2026-08-09,TB,SEA,away,25.00,1.900,,win,desde foto Hondubet; ticket=5278524237; ganador incl extras; seleccion=2 TB; payout_potencial=47.72; P=70.1%; edge=+17.5%; con; score=1:4 TB gana; payout=47.72; protocol_ok; preferida>=10%; bank~1543; CERRADO
2026-08-10T11:36:18.718568+00:00,2026-08-10,BOS,TOR,away,25.00,1.600,,loss,desde foto Hondubet; ticket=5280708779; ganador incl extras; seleccion=2 BOS; payout_potencial=40.15; P=71.7%; edge=+9.2%; con; score=2:1 TOR gana; protocol_ok_oficial>=3%; edge_real<10%_bajo_preferencia; bank~1543; CERRADO
2026-08-10T11:38:01.722648+00:00,2026-08-10,TEX,LAA,away,25.00,1.830,,win,desde foto Hondubet; ticket=5280710552; ganador incl extras; seleccion=2 TEX; payout_potencial=45.83; P=69.5%; edge=+14.9%; con; score=1:4 TEX gana; payout=45.83; protocol_ok; preferida>=10%; bank~1543; CERRADO
2026-08-10T11:39:49.749015+00:00,2026-08-10,TB,ATH,away,25.00,1.620,,win,desde foto Hondubet; ticket=5280712268; ganador incl extras; seleccion=2 TB; payout_potencial=40.62; P=79.7%; edge=+18.0%; con; score=6:10 TB gana; payout=40.62; protocol_ok; preferida>=10%; bank~1543; CERRADO
2026-08-10T11:43:05.442265+00:00,2026-08-10,COL,AZ,home,25.00,1.550,,win,desde foto Hondubet; ticket=5280715689; ganador incl extras; seleccion=1 AZ/ARI; payout_potencial=38.89; P=63.3%; edge=-1.2%; con; score=9:0 AZ gana; PA early payout; payout=38.89; FUERA_protocolo_edge_real<3%; bank~1543; CERRADO; PA
2026-08-10T11:45:13.294796+00:00,2026-08-10,HOU,SF,away,25.00,1.640,,win,desde foto Hondubet; ticket=5280717132; ganador incl extras; seleccion=2 HOU; payout_potencial=41.17; P=69.3%; edge=+8.3%; con; score=6:3 HOU gana; payout=41.17; oficial_ok_edge_real<10%; bank~1543; CERRADO; PA
2026-08-11T12:28:00.000000+00:00,2026-08-11,CHC,WSH,away,25.00,1.580,,pending,desde foto Hondubet; ticket=5283364050; ganador incl extras; seleccion=2 CHC; payout_potencial=39.70; P=68.9%; edge=+5.6%; con; protocol_ok_oficial>=3%_manana>=5%; edge_real<10%_bajo_preferencia; bank~1543; ABIERTO; hora_HN=16:45
2026-08-11T12:29:00.000000+00:00,2026-08-11,BOS,TOR,away,25.00,2.300,,pending,desde foto Hondubet; ticket=5283366437; ganador incl extras; seleccion=2 BOS; payout_potencial=57.50; P=68.2%; edge=+24.7%; con; protocol_ok; preferida>=10%; bank~1543; ABIERTO; hora_HN=17:07
2026-08-11T12:31:00.000000+00:00,2026-08-11,PHI,STL,away,25.00,1.580,,loss,desde foto Hondubet; ticket=5283369262; ganador incl extras; seleccion=2 PHI; payout_potencial=39.70; P=63.3%; edge=+0.0%; con; FUERA_protocolo_edge_real<3%; bank~1543; CERRADO; hora_HN=17:45; cashout_cerrar_apuesta; payout=22.21; profit=-2.79
2026-08-11T12:33:00.000000+00:00,2026-08-11,TEX,LAA,away,25.00,1.710,,pending,desde foto Hondubet; ticket=5283372113; ganador incl extras; seleccion=2 TEX; payout_potencial=42.85; P=71.0%; edge=+12.5%; con; protocol_ok; preferida>=10%; bank~1543; ABIERTO; hora_HN=19:38
2026-08-11T12:35:00.000000+00:00,2026-08-11,COL,AZ,home,25.00,1.550,,loss,desde foto Hondubet; ticket=5283375743; ganador incl extras; seleccion=1 AZ/ARI; payout_potencial=38.89; P=65.2%; edge=+0.7%; con; FUERA_protocolo_edge_real<3%; bank~1543; CERRADO; hora_HN=19:40; cashout_cerrar_apuesta; payout=22.21; profit=-2.79
2026-08-11T12:36:00.000000+00:00,2026-08-11,TB,ATH,away,25.00,1.600,,pending,desde foto Hondubet; ticket=5283377337; ganador incl extras; seleccion=2 TB; payout_potencial=40.15; P=80.5%; edge=+18.0%; con; protocol_ok; preferida>=10%; bank~1543; ABIERTO; hora_HN=19:40; PA
2026-08-11T12:37:00.000000+00:00,2026-08-11,HOU,SF,away,25.00,1.520,,pending,desde foto Hondubet; ticket=5283379280; ganador incl extras; seleccion=2 HOU; payout_potencial=38.16; P=70.7%; edge=+4.9%; con; protocol_ok_oficial>=3%; edge_real<5%_bajo_manana; edge_real<10%; bank~1543; ABIERTO; hora_HN=19:45
2026-08-12T00:18:00.000000+00:00,2026-08-11,TB,ATH,away,25.00,1.520,,pending,desde foto Hondubet; ticket=5285552204; ganador incl extras; seleccion=2 TB; payout_potencial=38.16; P=80.5%; edge=+14.7%; con; protocol_ok; preferida>=10%; bank~1543; ABIERTO; hora_HN=19:40; NOTA=ticket_fecha_11ago_no_12; posible_2do_ticket_mismo_partido
